50.00 0.000 10000 0
50.00 0.000 10000 0
51.00 0.000 10000 0
52.00 0.000 10000 0
53.00 0.000 10000 0
54.00 0.000 10000 0
55.00 0.000 10000 0
56.00 0.000 10000 0
57.00 0.000 10000 0
58.00 0.000 10000 0
59.00 0.000 10000 0
60.00 0.000 10000 0
61.00 0.000 9999 1
62.00 0.000 10000 0
63.00 0.000 10000 0
64.00 0.000 10000 0
65.00 0.000 9999 1
66.00 0.000 9999 1
67.00 0.000 9998 2
68.00 0.000 9997 3
69.00 0.000 9998 2
70.00 0.000 9997 3
71.00 0.000 9996 4
72.00 0.000 9996 4
73.00 0.001 9994 6
74.00 0.001 9993 7
75.00 0.001 9993 7
76.00 0.001 9994 6
77.00 0.001 9992 8
78.00 0.001 9990 10
79.00 0.001 9986 14
80.00 0.002 9980 20
81.00 0.002 9980 20
82.00 0.002 9980 20
83.00 0.002 9978 22
84.00 0.002 9979 21
85.00 0.003 9970 30
86.00 0.003 9972 28
87.00 0.004 9957 43
88.00 0.005 9951 49
89.00 0.007 9933 67
90.00 0.006 9939 61
91.00 0.008 9917 83
92.00 0.009 9914 86
93.00 0.009 9910 90
94.00 0.010 9901 99
95.00 0.010 9898 102
96.00 0.012 9884 116
97.00 0.015 9848 152
98.00 0.017 9835 165
99.00 0.019 9812 188
100.00 0.021 9795 205
